CUST_NAME,ECU_NAME,EVENT_ID,EVENT_NOTIFICATION_ID,EVENT_TYPE,FMI,FMT_TEXT,LATITUDE,LONGITUDE,MFG_RLSE_DATE,ODO_READING,SA,SPN,SPN_TEXT,TIME_STAMP,VIN_CD_DESC,VIN_NO,WITHIN_GEO_FENCE_LIMIT,Number of Records
RG_Corp12,J1939_160,17295799,17921668,2,19,Received Network Data In Error,45.5594436,-122.7011171,,13410,160,523,Transmission Current Gear,1/14/2014 7:54,Cascadia 125” Sleepercab,FRCE308QQQQQQQQQQ,Y,1
RG_Corp12,J1939_42,17312864,17939375,2,19,Received Network Data In Error,45.5593363,-122.702734,,11382,42,560,Transmission Driveline Engaged,1/14/2014 13:45,Cascadia 125” Sleepercab,FRCE300QQQQQQQQQQ,Y,1
RG_Corp12,J1939_42,17314933,17941522,2,19,Received Network Data In Error,45.4461912,-122.5782016,,11398,42,560,Transmission Driveline Engaged,1/14/2014 14:31,Cascadia 125” Sleepercab,FRCE300QQQQQQQQQQ,N,1
RG_Corp12,J1939_160,17339504,17967231,2,14,Special Instructions,43.0087154,-89.2212007,,23858,160,517503,Undocumented SPN: 517503,1/15/2014 6:06,Cascadia 125” Sleepercab,FRCE285QQQQQQQQQQ,N,1
RG_Corp12,J1939_42,17339505,17967226,2,19,Received Network Data In Error,43.0089095,-89.2218296,,23858,42,5606,Adaptive Cruise Control Readiness Status,1/15/2014 6:06,Cascadia 125” Sleepercab,FRCE285QQQQQQQQQQ,N,1
RG_Corp12,J1939_160,17340282,17968045,2,9,Abnormal update rate,43.2487956,-89.3766238,,23878,160,5681,Undocumented SPN: 5681,1/15/2014 6:24,Cascadia 125” Sleepercab,FRCE285QQQQQQQQQQ,N,1
RG_Corp12,J1939_42,17366988,17995817,2,19,Received Network Data In Error,45.5964611,-122.6688292,,11939,42,560,Transmission Driveline Engaged,1/15/2014 15:59,Cascadia 125” Sleepercab,FRCE300QQQQQQQQQQ,N,1
RG_Corp12,J1939_160,17384096,18013877,2,19,Received Network Data In Error,45.5338066,-122.5789344,,14478,160,523,Transmission Current Gear,1/16/2014 4:26,Cascadia 125” Sleepercab,FRCE308QQQQQQQQQQ,N,1
RG_Corp12,J1939_42,17388801,18018716,2,19,Received Network Data In Error,45.9688211,-108.0373918,,25113,42,5606,Adaptive Cruise Control Readiness Status,1/16/2014 6:06,Cascadia 125” Sleepercab,FRCE285QQQQQQQQQQ,N,1
RG_Corp12,J1939_42,17394321,18024466,2,19,Received Network Data In Error,45.5580148,-122.7015652,,11992,42,560,Transmission Driveline Engaged,1/16/2014 7:48,Cascadia 125” Sleepercab,FRCE300QQQQQQQQQQ,Y,1
RG_Corp12,J1939_160,17426943,18058471,2,19,Received Network Data In Error,45.6865699,-121.4043978,,4595,160,5681,Undocumented SPN: 5681,1/16/2014 23:33,Cascadia 113” Day cab,FRCE281QQQQQQQQQQ,N,1
RG_Corp12,J1939_160,17426944,18058472,2,19,Received Network Data In Error,45.6865699,-121.4043978,,4595,160,5682,Undocumented SPN: 5682,1/16/2014 23:33,Cascadia 113” Day cab,FRCE281QQQQQQQQQQ,N,1
RG_Corp12,J1939_160,17426945,18058470,2,19,Received Network Data In Error,45.6865699,-121.4043978,,4595,160,5683,Undocumented SPN: 5683,1/16/2014 23:33,Cascadia 113” Day cab,FRCE281QQQQQQQQQQ,N,1
RG_Corp12,J1939_42,17443186,18075472,2,19,Received Network Data In Error,45.5585176,-122.7010829,,32912,42,5606,Adaptive Cruise Control Readiness Status,1/17/2014 7:18,Cascadia 125” Sleepercab,FRCE404QQQQQQQQQQ,Y,1
RG_Corp12,J1939_42,17443188,18075471,2,9,Abnormal update rate,45.5585176,-122.7010829,,32912,42,1121,EBS Brake Switch,1/17/2014 7:18,Cascadia 125” Sleepercab,FRCE404QQQQQQQQQQ,Y,1
RG_Corp12,J1939_42,17443189,18075468,2,9,Abnormal update rate,45.5585176,-122.7010829,,32912,42,2919,Foundation Brake Use,1/17/2014 7:18,Cascadia 125” Sleepercab,FRCE404QQQQQQQQQQ,Y,1
RG_Corp12,J1939_42,17443187,18075470,2,9,Abnormal update rate,45.5585176,-122.7010829,,32912,42,904,Front Axle Speed,1/17/2014 7:18,Cascadia 125” Sleepercab,FRCE404QQQQQQQQQQ,Y,1
RG_Corp12,J1939_42,17451432,18084075,2,19,Received Network Data In Error,0,0,,12485,42,560,Transmission Driveline Engaged,1/17/2014 9:55,Cascadia 125” Sleepercab,FRCE300QQQQQQQQQQ,N,1
RG_Corp12,J1939_42,17472504,18105916,2,19,Received Network Data In Error,45.5238449,-122.6617846,,15334,42,560,Transmission Driveline Engaged,1/17/2014 20:35,Cascadia 125” Sleepercab,FRCE308QQQQQQQQQQ,N,1
RG_Corp12,J1939_160,17472505,18105915,2,19,Received Network Data In Error,45.5238449,-122.6617846,,15334,160,523,Transmission Current Gear,1/17/2014 20:35,Cascadia 125” Sleepercab,FRCE308QQQQQQQQQQ,N,1
RG_Corp12,J1939_42,17490298,18124743,2,19,Received Network Data In Error,45.5965718,-122.6688061,,13015,42,560,Transmission Driveline Engaged,1/18/2014 10:00,Cascadia 125” Sleepercab,FRCE300QQQQQQQQQQ,N,1
RG_Corp12,J1939_160,17512519,18148182,2,19,Received Network Data In Error,45.5585139,-122.7010846,,13479,160,523,Transmission Current Gear,1/19/2014 7:24,Cascadia 125” Sleepercab,FRCE300QQQQQQQQQQ,Y,1
RG_Corp12,J1939_160,17515829,18151662,2,19,Received Network Data In Error,45.5965039,-122.6688267,,16155,160,523,Transmission Current Gear,1/19/2014 9:33,Cascadia 125” Sleepercab,FRCE308QQQQQQQQQQ,N,1
RG_Corp12,J1939_42,17520495,18156552,2,19,Received Network Data In Error,45.447349,-122.5777633,,13610,42,560,Transmission Driveline Engaged,1/19/2014 12:44,Cascadia 125” Sleepercab,FRCE300QQQQQQQQQQ,N,1
